Ticker,Index,Year,Utilisation,IncrementalNet,PresentValue
NVDA,0,2026,0.1,15.412800000000004,14.011636363636367
NVDA,1,2027,0.2,30.82560000000001,25.475702479338846
NVDA,2,2028,0.4,61.65120000000002,46.31945905334335
NVDA,3,2029,0.7,107.88960000000003,73.69004849395533
NVDA,4,2030,1.0,154.12800000000004,95.70136168046146
NVDA,5,2031,1.1,169.54080000000005,95.70136168046145
NVDA,6,2032,1.2,184.95360000000005,94.91044133599482
NVDA,7,2033,1.2,184.95360000000005,86.28221939635891
NVDA,8,2034,1.2,184.95360000000005,78.43838126941719
AMD,0,2026,0.1,3.6400000000000006,3.3090909090909095
AMD,1,2027,0.2,7.280000000000001,6.016528925619835
AMD,2,2028,0.4,14.560000000000002,10.93914350112697
AMD,3,2029,0.7,25.480000000000004,17.403182842701998
AMD,4,2030,1.0,36.400000000000006,22.601536159353245
AMD,5,2031,1.1,40.040000000000006,22.60153615935324
AMD,6,2032,1.2,43.68000000000001,22.414746604317262
AMD,7,2033,1.2,43.68000000000001,20.377042367561145
AMD,8,2034,1.2,43.68000000000001,18.52458397051013
AAPL,0,2026,0.1,6.261964800000001,5.692695272727273
AAPL,1,2027,0.2,12.523929600000002,10.350355041322315
AAPL,2,2028,0.4,25.047859200000005,18.81882734785875
AAPL,3,2029,0.7,43.8337536,29.9390435079571
AAPL,4,2030,1.0,62.619648000000005,38.88187468565857
AAPL,5,2031,1.1,68.88161280000001,38.881874685658566
AAPL,6,2032,1.2,75.1435776,38.560536878339065
AAPL,7,2033,1.2,75.1435776,35.05503352576278
AAPL,8,2034,1.2,75.1435776,31.86821229614798
MSFT,0,2026,0.1,9.132032,8.301847272727272
MSFT,1,2027,0.2,18.264064,15.09426776859504
MSFT,2,2028,0.4,36.528128,27.444123215627343
MSFT,3,2029,0.7,63.924224,43.66110511577077
MSFT,4,2030,1.0,91.32032000000001,56.702733916585416
MSFT,5,2031,1.1,100.45235200000002,56.702733916585416
MSFT,6,2032,1.2,109.58438400000001,56.234116280911145
MSFT,7,2033,1.2,109.58438400000001,51.121923891737396
MSFT,8,2034,1.2,109.58438400000001,46.47447626521581
GOOGL,0,2026,0.1,5.870592000000001,5.336901818181818
GOOGL,1,2027,0.2,11.741184000000002,9.70345785123967
GOOGL,2,2028,0.4,23.482368000000005,17.642650638617578
GOOGL,3,2029,0.7,41.094144,28.06785328870978
GOOGL,4,2030,1.0,58.705920000000006,36.45175751780491
GOOGL,5,2031,1.1,64.57651200000001,36.45175751780491
GOOGL,6,2032,1.2,70.44710400000001,36.15050332344288
GOOGL,7,2033,1.2,70.44710400000001,32.86409393040261
GOOGL,8,2034,1.2,70.44710400000001,29.876449027638735
AMZN,0,2026,0.1,5.009571840000001,4.554156218181819
AMZN,1,2027,0.2,10.019143680000003,8.280284033057852
AMZN,2,2028,0.4,20.038287360000005,15.055061878287002
AMZN,3,2029,0.7,35.067002880000004,23.951234806365683
AMZN,4,2030,1.0,50.09571840000001,31.10549974852686
AMZN,5,2031,1.1,55.105290240000016,31.10549974852686
AMZN,6,2032,1.2,60.11486208000001,30.848429502671255
AMZN,7,2033,1.2,60.11486208000001,28.04402682061023
AMZN,8,2034,1.2,60.11486208000001,25.494569836918387
META,0,2026,0.1,4.566016,4.150923636363636
META,1,2027,0.2,9.132032,7.54713388429752
META,2,2028,0.4,18.264064,13.722061607813671
META,3,2029,0.7,31.962112,21.830552557885387
META,4,2030,1.0,45.660160000000005,28.351366958292708
META,5,2031,1.1,50.22617600000001,28.351366958292708
META,6,2032,1.2,54.79219200000001,28.117058140455573
META,7,2033,1.2,54.79219200000001,25.560961945868698
META,8,2034,1.2,54.79219200000001,23.237238132607906
ORCL,0,2026,0.1,1.9568640000000006,1.7789672727272732
ORCL,1,2027,0.2,3.913728000000001,3.2344859504132235
ORCL,2,2028,0.4,7.827456000000002,5.88088354620586
ORCL,3,2029,0.7,13.698048000000004,9.355951096236597
ORCL,4,2030,1.0,19.568640000000006,12.150585839268306
ORCL,5,2031,1.1,21.52550400000001,12.150585839268306
ORCL,6,2032,1.2,23.482368000000005,12.05016777448096
ORCL,7,2033,1.2,23.482368000000005,10.95469797680087
